Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1871,M,M,4,1.87,1.59,2.51,5,3.69,0.89,1.54,3.52,2.39
1872,1.17,1.41,1.31,3.26,3.22,3.28,11,2.69,2.81,1.07,0.8,2.1
1873,4.5,2.85,3.9,5.91,3.89,3.7,11.28,1.32,1.76,5.27,2.55,5.9
1874,3.75,4.17,5.79,4.42,4.03,5.25,3.53,2.9,2.09,0.36,4.82,2.79
1875,1.01,1.88,5.23,1.29,5.05,12.21,13.12,3.66,1.34,2.67,3.04,4.01
1876,5.94,4.58,7.44,2.27,5.11,7.54,7.48,5.86,3.85,4.42,2.26,0.9
1877,1.57,1.21,5.23,3.21,2.09,6.21,4.19,4.13,2.04,3.22,3.64,2.45
1878,2.38,2.1,1.23,5.51,3.24,2.25,4.54,2.42,3.35,4.78,2.87,3.95
1879,1.47,2.17,3.36,2.25,3.38,2.94,2.4,5.71,6.94,1.34,5.82,5.1
1880,6.32,3.16,4.03,6.43,8.22,8.48,2.26,2.67,1.86,3.54,2.58,1.44
1881,2.1,6.43,4.01,2.6,3.78,3.92,0.82,0.97,3.25,6.11,9.35,5.4
1882,3.74,7.28,6.11,3.68,7.65,9.35,3.43,4.51,0.72,2.18,2.5,2.53
1883,1.32,7.19,3.25,2.73,4.02,4.59,6.12,2.48,2.72,8.56,6.8,4.34
1884,1.05,4.73,3.01,2.89,4.8,4.11,6.03,0.46,3.09,2.31,1.46,6.05
1885,3.31,1.54,0.82,5.28,3.66,5.74,1.43,5.82,3.5,3.25,2.71,2.45
1886,4.02,1.51,2.85,3.09,3.82,4.92,2.27,6.7,3.43,1.2,3.87,2.2
1887,1.48,4.61,2.78,3.92,2.39,2.45,1.41,3.15,2.11,0.55,3.71,4.52
1888,2.81,1.45,4.26,4.05,4.73,2.65,3.33,5.84,1.23,4.03,5.07,1.91
1889,2.52,1.29,2.15,2.07,5.76,4.88,5.98,0.54,3.79,1.7,4.97,2.76
1890,10.2,5.28,4.46,4.58,3.61,4.45,0.97,5,7.31,4.02,3.35,1.64
1891,2,5.97,5.77,2.3,1.61,2.9,1.93,5.79,0.74,1.18,5.08,2.96
1892,1.55,3.53,1.93,6.33,8.83,3.84,2.93,1.39,2.42,0.28,4.9,1.84
1893,2.77,6.16,2.69,8.6,3.15,3.02,0.83,0.61,3.03,3.01,3.25,2.23
