Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1872,M,M,M,M,M,M,M,M,M,M,1.21,3.3
1873,2.53,4.05,3.73,2.89,6.05,4.49,3.37,2.96,1.6,5.47,1.92,4.48
1874,5.41,4.89,5.9,6.81,0.79,3.55,6.26,1.57,2.89,0.92,4.27,3.83
1875,2.61,3.12,6.18,2.06,2.43,4.16,11.22,0.62,1.72,2.37,5.87,3.68
1876,6.06,1.66,3.63,4.2,2.16,4.13,3.84,M,M,M,M,M
1877,M,M,M,M,M,M,M,M,M,M,M,M
1878,M,M,M,M,M,M,M,M,M,M,M,M
1879,M,M,M,M,M,M,M,M,M,M,M,M
1880,M,M,M,M,M,M,M,M,M,M,M,M
1881,M,M,M,M,M,M,M,M,M,M,M,M
1882,M,M,M,M,M,M,M,M,M,M,M,M
1883,M,M,M,M,M,M,M,M,M,M,M,M
1884,M,M,M,M,M,M,M,M,M,M,M,M
1885,M,M,M,M,M,M,M,M,M,M,M,M
1886,M,M,M,M,M,M,M,M,M,M,M,M
1887,M,M,M,M,M,M,M,M,M,M,3.02,2.71
1888,4.39,2.93,5.82,3.17,3.29,2.97,4.21,8.76,1.22,3.01,5.15,1.88
1889,5.66,1.78,1.63,1.52,3.53,3.49,5.82,1.15,6.79,3.06,5.34,1.73
1890,5.34,8.13,9.91,3.59,4.71,7.43,3.14,7.32,1.82,2.38,3.54,4.05
1891,4.7,4.36,7.63,1.85,1.17,5.33,3.23,6.48,1.26,1.33,5.35,2.81
1892,2.35,3.1,4.01,6.57,5.32,3.81,6.22,3.28,4.1,0.45,3.72,3.03
1893,2.1,4.44,3.3,5.81,3.88,4.24,3.11,1.86,2.25,5.59,3.36,2.61
1894,3.58,3.35,2.13,4.19,3.81,4.44,0.87,3.67,4.05,1.4,1.38,3.45
1895,5.6,0.52,2.79,3.17,4.05,2.93,5.07,1.56,0.33,1.28,2.52,5.49
1896,1.25,3.15,5.41,0.4,3.2,3.74,10.39,3.37,4.25,1.27,4.3,2.56
1897,2.59,6.33,6.55,5.8,4.48,4.77,4.34,3.21,0.8,0.38,4.83,5.11
1898,9.56,2.2,8.18,3.29,6.13,7.94,5.72,2.99,3.55,5.27,2.89,2.8
1899,6.69,2.84,8.61,2.16,3.63,2.55,0.97,4.18,1.9,2.09,1.7,2.91
1900,2.13,3.17,1.98,1.23,3.54,2.19,2.8,5.75,1.85,0.79,6.38,1.86
1901,1.49,0.62,2.23,4.52,2.67,3.7,2.61,3.74,2.18,1.33,1.73,3.49
1902,4.77,0.9,2.92,1.27,2.43,5.19,2.33,1.89,2.6,2.11,3.09,6.6
1903,1.68,6.16,3.24,3.29,1.75,2.71,2.62,1.49,0.81,2.12,2.84,1.99
1904,1.92,2.38,4.75,3.08,2.6,2.51,3.13,2.44,1.71,0.57,0.53,3.1
1905,2.04,2.13,5.87,2.87,5.54,3.31,4.94,4.11,3.2,3.45,3.58,4.13
1906,2.29,1.84,6.45,1.11,3.15,4.68,3.89,4.92,5.03,0.74,3.95,4.54
1907,9.06,1.89,4.13,1.83,3.89,3.65,4.42,2.07,2.72,2.76,2.67,2.28
1908,1.85,4.81,8.17,4.99,4.2,2.12,3.6,2.98,0.38,0.72,1.65,2.13
1909,3.35,6.86,3.97,6.72,4.15,5.41,5.98,1.26,4.88,2.05,1.96,2.77
1910,4.46,4.11,0.46,4.22,6.24,5.92,7.66,4.15,7.92,1.67,1.72,2.81
1911,2.44,2.21,2.31,4.46,1.07,3.01,0.92,2.84,4.37,3.67,3.84,6.2
