Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1872,M,M,M,M,M,M,M,2.45,4.38,3.92,0.56,2.35
1873,2.93,5.42,3.39,3.05,5.73,2.84,3.43,3.04,2.47,3.26,2.19,6.99
1874,2.39,5.18,6.63,6.01,1.14,2.95,2.83,3.23,0.62,2.04,5.9,4.77
1875,2.42,2.09,4.54,0.98,4.07,5.79,16.46,2.19,1.05,1.92,6.14,5.67
1876,11.63,2.92,6.01,4.5,1,6.52,3.61,4.29,2.66,7.61,1.63,1.24
1877,3.95,0.44,4.93,5.31,3.98,5.57,4.19,2.7,3.02,1.81,4.49,4.19
1878,3.25,2.25,4.06,3.53,4.5,5.34,4.08,4.21,2.52,3.44,4.78,5.1
1879,2.52,2.31,5.66,4.63,1.68,3.38,1.18,10.02,5.88,0.59,4.9,7.93
1880,4.61,5.4,5.14,7.32,6.09,4.11,2.18,2.82,2.44,6.39,3.83,3.52
1881,3.24,4.05,2.46,3.45,1.75,3.78,2.18,0.15,2.7,3.44,2.79,6
1882,6.29,9.69,5.85,2.17,7.46,5.23,4.57,5.45,3.57,1.56,2.67,1.99
1883,3.52,8.72,3.22,6.63,2.59,1.98,4.74,0.86,0.32,8.05,6.05,4.86
1884,1.94,9.84,3.76,2.91,5.75,3.59,3.94,4.81,5.9,2,1.86,5.11
1885,6.34,2.88,1.02,4.94,4.2,3.18,2.01,2.97,5.71,4.97,6.17,2.84
1886,4.64,1.94,3.42,3.38,4.03,5.35,3.1,4.43,1.63,0.64,5.72,2.69
1887,4.08,7.6,1.88,7.31,2.12,1.79,1.86,2.74,2.84,0.39,2.51,3.03
1888,3.26,2.56,5.71,2.99,2.42,3.28,3.59,10.53,2.75,2.84,6.34,1.57
1889,3.07,2.33,0.95,0.65,5.26,5.76,2.98,0.23,4.38,1.68,5.99,1.74
1890,5.73,6.25,9.58,3.51,3.15,6.96,2.05,4.18,2.71,3.69,4.54,3.06
1891,5.21,3.94,6.57,2.42,1.56,2,4.08,5.42,1.99,0.35,6.23,3.65
1892,1.46,3.61,3.23,7.5,4.44,3.89,3.93,1.84,2.43,0.86,2.87,2.07
1893,2.57,4.58,2.38,7.69,4.19,4.56,1.52,1.68,4,5.1,3.22,2.44
1894,2.81,5.09,3.04,3.98,3.9,3.63,2.41,3.57,2.64,1.2,0.63,5.18
1895,4.54,0.64,2.1,3.1,2.88,4.94,5.68,1.45,0.41,0.9,7.01,5.31
1896,0.82,3.16,4.86,0.25,4.32,4.79,13.01,4.51,4.36,1.61,4.62,2.15
1897,3.29,4.04,7.95,3.83,3.3,3.5,5.21,1.35,0.75,1.83,5.86,2.95
1898,9.04,1.73,9.94,2.8,4.22,5,2.15,5.14,2.97,2.85,2.55,2.61
1899,4.3,1.84,7.02,3.5,3.17,3.8,2.09,2.72,0.89,2.41,2.05,4.07
1900,3.1,3.74,1.5,2.29,5.58,3.28,2.67,3.43,1.05,2.22,7.43,1.75
1901,0.98,1.16,3.59,2.49,2.45,4.12,2.85,2.86,2.78,0.49,1.19,4.59
1902,4.67,0.62,2.1,2.05,6.41,6.51,1.87,2.74,4.03,1.15,3.85,5.65
1903,2.43,6.03,3.18,4.82,2.23,3.52,1.25,3.51,0.83,1.6,2.71,1.58
1904,2.43,3.54,6.49,2.67,1.77,1.71,1.7,2.11,2.65,0.27,0.25,3.66
1905,2.24,2.23,3.61,2.14,6.79,4.03,5.13,3.76,2.95,5.72,5.16,5.48
1906,2.68,1.55,6.51,2.02,2.52,2.8,4.83,1.92,4.12,0.99,7.1,5.02
1907,12.11,1.25,5.06,2.42,5.3,1.21,5.63,3.68,1.46,2.96,3.13,3.27
1908,1.98,5.68,6.54,6.06,4.26,3.27,3.61,2.29,0.59,0.07,1.65,1.85
1909,3.25,9.64,5.08,4.86,4.15,3.59,7.23,0.83,2.18,4.06,1.73,2.81
1910,3.25,5.62,0.12,4.61,3.96,4.08,10.21,2.31,2.18,6.7,3.32,3.65
1911,2.31,2.8,2.3,5.35,2.08,2.7,3.43,2.71,4.66,2.89,3.79,4.36
1912,3.45,2.74,5.7,8.6,3.61,3.49,4.08,5.06,3.03,2.43,0.65,2.52
1913,9.91,2.09,7.7,2.11,1.07,4.55,1.48,2.09,1.85,3.84,4.32,1.21
1914,1.84,5.77,3.01,2.13,0.65,2.2,2.59,6.97,1.35,2.42,0.75,4.06
1915,4.98,0.93,1.31,1.02,4.62,3.11,3.73,4.65,2.34,1.19,3.88,8.43
1916,8.16,3.14,3.85,3.17,3.39,6.05,8.08,3.06,4.12,2.02,1.17,4.12
1917,6.12,2.55,6.3,4.93,4.39,3.18,1.86,4.05,2.27,2.46,1.35,2.28
1918,3.49,1.9,1.22,2.52,4.99,4.24,4.02,3.25,2.19,2.62,1.19,4.48
1919,1.63,0.99,5.72,3.15,4.22,4.41,3.47,1.57,2.53,6.89,5.59,5.89
1920,4.77,0.79,5.49,5.16,2.53,1.72,2.13,4.78,1.79,1.55,3.35,2.09
1921,2.2,2.65,6.65,4.58,2.82,3.76,1.04,5.4,4.29,1.88,8.32,5.49
1922,1.59,2.66,6.46,6.06,2.17,4,7.79,1.63,1.39,2.24,1.83,4.96
1923,5.65,3.65,4.18,4.53,4.68,6.28,4.05,2.29,3.61,1.06,3.02,5.91
1924,4.65,1.46,2.96,3.29,3.51,6.2,1.47,2.5,4.83,0.1,1,4.1
1925,2.02,3.1,3.54,2.21,1.08,2.1,2.63,0.89,2.14,6.43,3.89,1.14
1926,3.68,2.75,2.66,4.3,1.84,0.86,2.73,6.89,5.34,6.15,1.83,3.71
1927,7.62,2.02,7.01,5.16,9.58,4,4.27,2.92,3.02,3.35,3.65,2.89
1928,2.01,2.51,2.66,4.15,5.63,7.25,2.17,3.23,0.78,4.45,2.94,3.31
1929,3.77,2.16,2.3,4.31,7.16,4.46,1.09,1.39,3.26,4.4,3.5,3.24
1930,5.95,3.86,1.62,0.64,1.46,1.77,0.25,1.2,2.35,0.8,2.11,1.87
1931,0.96,2.88,2.83,3.87,1.94,3.14,1.73,2.91,3.56,2.36,3.38,3.99
1932,6.54,2.85,3.92,3.39,0.63,2.78,3.68,5.22,3.01,3.05,1.91,5.27
1933,4.63,3,6.11,5.81,5.98,0.67,3.98,2.17,4.66,1.82,1.3,3.69
1934,1.01,0.44,3.6,1.44,3.25,4.27,2.1,4.91,3.07,0.52,1.14,2.37
1935,3.37,1.36,7.26,2.98,8.64,4.96,4.31,3.68,1.75,1.95,2.96,2.17
1936,1.59,2.1,2.99,4.1,1.09,0.35,1.81,2.21,3.5,3.25,4.11,2.77
1937,19.17,1.65,0.76,4.06,3.84,4.14,0.93,4.27,1.09,4.48,1.66,3.58
1938,2.47,2.16,6.76,2.01,4.66,2.23,6.95,3.79,2.99,0.49,3.13,1.38
1939,4.42,6.95,7.11,4.96,0.96,7,5.91,2.98,1.2,1.38,1.16,2.43
1940,1.56,5.23,5.34,7.21,2.48,1.59,1.36,1.59,0.97,0.54,3.98,3.1
1941,2.32,0.45,1.2,2.77,1.25,6.82,2.36,1.91,0.64,5.8,1.84,3.41
1942,2.58,2.58,4.48,3.73,3.43,8.48,1.96,6.1,3.55,1.8,5.99,4.77
1943,1.35,1.27,10.02,3.04,4.94,3.81,2.35,0.5,1.92,1.12,0.73,1.75
1944,1.13,3.34,4.72,6.47,4.34,0.49,3.8,5.69,4.94,0.44,1.51,3.91
1945,1.88,5.68,10.23,3.93,4.46,5.8,2.51,1.68,3.49,2.13,5.23,2.34
1946,M,6.17,4.9,2.39,5.11,4.75,3.11,4.26,1.34,2.16,4.33,2.94
1947,5.31,0.4,2.2,6.26,6.04,4.03,4.22,1.75,2.86,2.74,2.3,1.86
1948,2.54,4.61,7.15,6.39,2.63,2.03,3.74,1.34,1.47,2.19,8.13,3.05
1949,7.1,4.06,5.65,3.07,3.14,6.78,2.78,3.47,0.91,3.33,1.56,4.84
1950,11.38,5.72,2.8,3.17,9.04,7.01,5.51,3.02,3.06,0.99,5.03,2.66
1951,7.83,3.36,5.75,2.88,3.89,4.45,2.89,2.66,3.15,3.27,4.17,6.85
1952,5.11,2.9,5.99,1.85,2.73,4.18,1.21,2.39,1.75,2.01,2.79,4.67
1953,3.68,0.87,4.71,4.3,4.32,1.68,5.4,0.23,0.27,0.8,1.9,2.22
1954,4.21,2.02,1.25,3.05,1.86,0.81,1.18,4.51,5.16,3.86,1.16,3.87
1955,1.8,6.93,5.96,4.4,5.77,3.38,3.3,0.26,4.47,4.44,3.73,1.11
1956,2.87,8.34,4.5,2.63,3.98,2.38,2.59,4.03,3.7,1.74,1.52,2.74
1957,2.83,2.83,1.66,6.09,5.78,6.57,4.28,1.01,2.8,2.26,9.12,4.88
1958,2.91,1.36,3.13,5.38,3.03,3.84,7.05,3.45,4.07,1.65,2.77,1.19
1959,5.51,2.76,2.13,1.68,4.42,1.11,2.61,5.2,0.48,3.26,4.15,3.77
1960,2.55,4.31,2.42,1.17,3.52,10.11,1.99,1.79,3,1.58,3.35,2.88
1961,1.57,5.24,7.63,4.83,9,3.59,5.16,1.56,1.48,2,4.23,3.75
1962,4.03,6.58,3.58,1.01,3.33,4.75,1.84,2.2,3.56,4.7,1.59,2.74
1963,1.18,1.11,9.04,1.87,4.56,4.18,7.33,2.13,3.48,0.81,1.69,1.06
1964,2.45,2.45,14.91,3.06,1.85,2.24,3.03,2.63,4.16,0.62,3.32,5.86
1965,2.76,4.67,4.82,3.28,1.6,2.27,4.86,2.12,8.41,2.54,1.33,1.14
1966,5.73,5.01,1.02,9.56,3.91,0.75,2.13,5.18,2.59,1.04,3.67,4.33
1967,1.11,2.01,4.37,4.39,4.62,4.41,7.33,4.3,1.73,3.06,3.08,3.51
1968,2.13,0.8,6.23,3.94,5.16,1.7,3.07,3.68,2.61,1,3.34,3.62
1969,5.31,1.65,1.94,3.77,3.91,2.97,4.05,3.65,1.08,1.69,3.08,3.69
1970,1.4,2.87,4.52,11.1,1.85,5.2,3.33,7.65,3.57,4.79,1.75,4.18
1971,2.64,6.28,2.12,2.16,6.15,2.64,6.74,1.83,4.72,1.96,2.06,2.98
1972,2.87,3.94,4.07,8.48,4.46,1.08,3.64,2.45,4.24,2.55,6.31,5.29
1973,1.96,1.6,6.26,5.77,7.04,6.2,9.38,0.91,2.34,2.28,7.59,2.64
1974,4.38,1.64,5.41,2.74,3.86,2.58,2.04,8.79,3.52,2.09,3.03,2.85
1975,4.87,4.53,9.65,6.47,4.5,3.15,1.91,3.89,2.64,6.12,3.69,4.89
1976,3.85,3.13,2.87,0.76,5.09,4.71,2.1,3.18,3.1,3.99,0.72,0.65
1977,2.33,1.45,4.69,3.4,1.37,7.59,3.29,6.12,3.67,4.76,6.11,4.32
1978,5.9,0.76,3.76,3.33,4.76,2.67,3.77,5.5,0.96,2.26,5.14,7.64
1979,3.81,4.49,2.71,7.32,3.59,3.03,10.05,2.37,10.49,2.27,5.85,3.82
1980,1.71,1.09,4.8,2.63,4.58,3.7,5.41,3.76,3.17,3.37,2.42,1.25
1981,0.45,3.23,1.54,4.44,4.63,3.23,3.98,3.21,3.22,1.6,2.4,2.02
1982,5.28,1.55,5.89,3.05,2.96,3.86,3.72,3.74,3.46,1.26,5.5,5.11
1983,1.63,1.52,2.16,7.1,10.58,4.42,0.99,2.39,1.13,6.47,5.03,3.96
1984,0.92,1.68,4.41,5.53,6.78,0.49,6.94,5.08,3.7,2.12,5.87,5.86
1985,2.2,2.08,4.43,1.69,3.93,4.37,3.45,4.49,1.48,4.24,4.43,0.96
1986,0.91,3.9,2.69,1.04,4.28,2.32,7.04,2.19,2.75,3.08,4.62,2.69
1987,0.81,4.42,3.05,2.35,1.61,3.58,5.31,2.66,1.15,0.39,2.62,4.7
1988,4,3.58,2.97,3.52,2.68,0.87,4.68,3,1.48,1.54,5.76,3.45
1989,3.68,9.02,5.5,4.93,4.39,5.26,6.9,2.2,2.42,2.65,2.57,1.45
1990,3.9,6.72,2.78,3.46,11.57,6.13,1.96,3.21,2.57,3.97,2.34,8.86
1991,3.29,3.72,4.79,2.61,4.02,1.23,2.99,3.35,2.74,2.31,1.87,5.23
1992,1.97,1.74,5.88,2.66,3.51,3.04,6.51,4.71,3.5,0.96,4.71,1.6
1993,3.5,4.2,5.2,3.57,2.8,4.05,4.58,5.74,3.9,4.03,3.26,2.56
1994,4.08,2.96,3.9,5.32,2.12,1.85,2.5,1.58,2.91,1.95,3.57,3.24
1995,3.2,2,2.17,2.64,9.51,2.84,3.4,4.07,1.32,5.41,2.58,4.1
1996,5.35,2.99,6.54,6.37,10.98,5.21,5.11,2.97,6.55,2.42,3.8,5.47
1997,3.57,3.75,17.52,2.23,6.99,8.15,1.51,4.31,2.25,1.43,4.34,3.32
1998,4.68,3.58,4.35,6.36,5.06,6.8,9.56,3.16,0.51,2.77,2.16,3.27
1999,6.99,2.37,3.84,4.43,3.09,8.42,0.51,0.97,0.53,2.89,1.56,5.64
2000,5.51,6.62,3.59,3.54,2.73,7.34,4.02,2.56,5.34,0.99,3.24,4.59
2001,1.51,3.77,2.46,1.09,6.6,2.56,2.98,3.07,2.97,6.46,5.51,4.53
2002,5.18,1.45,8.47,6.61,6.99,3.32,0.78,0.96,7.88,5.83,2.7,7.62
2003,1.57,5.29,2.25,6.06,7.66,3.6,4.33,4.7,6.63,2.24,5.69,3.8
2004,4.74,1.81,4.8,5.49,10.66,3.75,6.49,4.14,0.18,8.73,8.31,5.5
2005,5.09,2.74,3.7,3.51,4.56,1.87,3.25,7.04,1.9,1.25,3.41,2.24
2006,4.53,1.82,5.21,5.92,3.44,6.11,4.53,5.14,9.79,4.31,2.91,3.14
2007,3.63,2.9,2.99,4.55,2.37,1.58,4.13,1.61,1.95,8.86,2.44,7.52
2008,2.92,4.87,8.97,6.13,5.69,3.16,3.83,0.63,1.31,2.26,1.84,5.18
2009,3.63,2.2,1.36,4.43,4.59,9.22,6.02,5.88,5.7,7,1.05,2.85
2010,2.86,1.91,1.17,3.97,8.16,4.39,5.21,2.06,0.12,1.04,5.96,1.66
2011,1.48,5.69,5.17,13.97,7.81,7.14,2.35,3.46,5.73,2.39,7.62,5.21
2012,4.15,1.68,6.22,3.4,7.87,0.79,4,1.46,5.83,2.39,0.75,7.14
2013,5.1,1.92,4.25,3.75,4.03,4.3,5.26,3.2,2.7,9.94,3.72,5.43
2014,2.41,3.75,2.3,7.01,4.04,1.65,3.61,6.4,3.31,3.51,1.71,3.57
2015,0.87,2.23,7.8,10.84,2.38,6.82,8.65,3.47,2.45,4.85,5.47,6.58
2016,1.01,4.81,5.5,3.18,4.56,4.25,4.65,5.71,2.28,0.65,1.65,5.3
2017,4.21,2.06,3.68,4.47,4.74,3.26,2.79,4.2,5.47,4.89,2.06,2.73
2018,1.76,10.54,5.05,3.4,4.98,6.38,5.13,7.23,10.91,2.79,4.76,5.9
